"Abandoned Checkouts","Abandoned Checkouts"
"Abandoned Checkout Rate","Abandoned Checkout Rate"
"Abandoned Checkout Statistics","Abandoned Checkout Statistics"
"Abandoned checkouts with completed billing method form","Abandoned checkouts with completed billing method form"
"Abandoned checkouts with completed shipping method form","Abandoned checkouts with completed shipping method form"
"Abandoned checkouts with specified email addresses","Abandoned checkouts with specified email addresses"
"Abandoned Revenue","Abandoned Revenue"
"Action","Action"
"Add after","Add after"
"Add a Note","Add a Note"
"All Store Views","All Store Views"
"Apply","Apply"
"Apply Discount Code Enabled","Apply Discount Code Enabled"
"Available Time Slots","Available Time Slots"
"Available Weekdays","Available Weekdays"
"Billing address","Billing address"
"Billing Fields Customization","Billing Fields Customization"
"Cancel","Cancel"
"Cart item %1 doesn't exist.","Cart item %1 doesn't exist."
"City","City"
"Checked by Default","Checked by Default"
"Checkout Behavior Report","Checkout Behavior Report"
"Checkout Conversion","Checkout Conversion"
"Completed In","Completed In"
"Country","Country"
"Current statistics for checkouts with billing address different from the shipping address or billing only","Current statistics for checkouts with billing address different from the shipping address or billing only"
"Custom Date Range","Custom Date Range"
"Custom Text","Custom Text"
"Date and Time","Date and Time"
"Date Only","Date Only"
"Date Range","Date Range"
"Day","Day"
"Days Between Order and Delivery Dates","Days Between Order and Delivery Dates"
"Same Day Delivery is Unavailable After","Same Day Delivery is Unavailable After"
"Next Day Delivery is Unavailable After","Next Day Delivery is Unavailable After"
"--- Please Select ---","--- Please Select ---"
"Estimated Delivery Date","Estimated Delivery Date"
"Default Values","Default Values"
"Define field names and drag and drop them to required position.","Define field names and drag and drop them to required position."
"Delete","Delete"
"Delivery Date","Delivery Date"
"Delivery Date Options","Delivery Date Options"
"Delivery is not Available During These Days and Periods","Delivery is not Available During These Days and Periods"
"Delivery Time","Delivery Time"
"Description","Description"
"Display Place Order Button Near Payment Methods","Display Place Order Button Near Payment Methods"
"Download","Download"
"Download and Install","Download and Install"
"Email address","Email address"
"Enable Address Autocomplete Suggestions","Enable Address Autocomplete Suggestions"
"Enable IP Detection","Enable IP Detection"
"Enabled","Enabled"
"End Time","End Time"
"Enter Coupon Code","Enter Coupon Code"
"Enter Coupon Code or Gift Card","Enter Coupon Code or Gift Card"
"Error during VAT Number verification.","Error during VAT Number verification."
"Field","Field"
"Filter Data:","Filter Data:"
"For delivery questions.","For delivery questions."
"General","General"
"GeoIP Settings","GeoIP Settings"
"GeoIP2 Database","GeoIP2 Database"
"GeoIP2 Library","GeoIP2 Library"
"Get Support","Get Support"
